0.64547,0.60274,0.61929,0.61245,0.56299
0.44347,0.47292,0.43708,0.45158,0.44302
0.4425,0.44308,0.42327,0.42198,0.46155
0.34758,0.32864,0.32152,0.38931,0.37059
0.31589,0.31536,0.32141,0.31101,0.31773
0.33749,0.33343,0.31454,0.34811,0.3393
0.43299,0.42065,0.39917,0.40224,0.36198
0.4801,0.49792,0.45553,0.45911,0.49431
0.56584,0.59559,0.49898,0.55928,0.51552
0.59249,0.61499,0.57711,0.61643,0.60791
0.70652,0.69402,0.69861,0.70565,0.74827
0.74879,0.73208,0.71882,0.70898,0.74947
0.7119,0.73522,0.7131,0.72976,0.71806
0.75565,0.74576,0.71203,0.67857,0.73387
0.7138,0.69581,0.74009,0.68557,0.6873
0.76467,0.75173,0.72035,0.762,0.77466
0.81773,0.82043,0.75102,0.87607,0.84616
0.83375,0.8239,0.80008,0.78232,0.79242
0.82886,0.84262,0.78425,0.64776,0.93914
0.75209,0.7347,0.80279,0.79161,0.75791
0.8063,0.79776,0.75556,0.73287,0.71694
0.84752,0.7608,0.74749,0.75716,0.74568
0.73914,0.8243,0.67938,0.65615,0.7664
0.68193,0.6823,0.61584,0.76211,0.63072
0.65836,0.76188,0.71781,0.66395,0.67996
0.54184,0.50431,0.60891,0.63489,0.56918
0.46248,0.44092,0.54847,0.47403,0.52975
0.36822,0.41422,0.43288,0.40342,0.42572
0.48112,0.42155,0.30808,0.36848,0.2196
0.41283,0.37076,0.45252,0.39347,0.37873
0.38684,0.45058,0.47042,0.35745,0.56106
0.6503,0.44272,0.5551,0.65553,0.58176
0.60786,0.73103,0.55151,0.79591,0.68188
0.6998,0.70938,0.63254,0.80179,0.67825
0.64465,0.78557,0.65626,0.64413,0.70402
0.61808,0.64877,0.56971,0.73698,0.7628
0.60108,0.77114,0.48076,0.51645,0.53911
0.57316,0.52298,0.7186,0.42686,0.61414
0.64467,0.65168,0.60274,0.74161,0.63635
0.7283,0.64604,0.60391,0.63178,0.57965
0.62397,0.71022,0.64683,0.64199,0.63465
0.53029,0.61704,0.62298,0.64251,0.60653
0.64238,0.68207,0.65727,0.61253,0.65467
0.87845,0.80057,0.75003,0.55503,0.78577
0.86999,0.8363,0.72683,0.5166,0.83965
0.75974,0.82306,0.81923,0.82004,0.90211
0.65613,0.70911,0.8785,0.86967,0.80644
0.80065,0.73546,0.79123,0.87229,0.73837
0.47956,0.42868,0.63274,0.66936,0.70109
0.46779,0.50499,0.65681,0.45436,0.48167
0.46725,0.52514,0.51661,0.47976,0.47982
0.41368,0.41011,0.40334,0.44311,0.42415
0.41538,0.3266,0.3934,0.42099,0.3738
0.42623,0.46544,0.47248,0.37722,0.44279
0.38773,0.4981,0.30207,0.51889,0.42558
0.44977,0.66149,0.67434,0.57015,0.66511
0.70703,0.53679,0.70245,0.89409,0.52966
0.77392,0.87676,0.72331,0.74021,0.67725
0.6484,0.65621,0.66602,0.71243,0.68902
0.54647,0.69308,0.71656,0.75048,0.73606
0.64301,0.63292,0.77247,0.4479,0.8333
0.58373,0.76747,0.46019,0.63319,0.5988
0.61489,0.49693,0.50897,0.77909,0.72698
0.54505,0.67752,0.71662,0.65068,0.61149
0.62017,0.67214,0.62851,0.73535,0.63542
0.69943,0.71387,0.59408,0.7022,0.62594
0.65368,0.68895,0.65306,0.65042,0.63743
0.72126,0.68741,0.75813,0.61122,0.80786
0.75902,0.66577,0.74318,0.71534,0.90407
0.70679,0.80166,0.78392,0.76317,0.83947
0.74734,0.65539,0.83796,0.68176,0.72837
0.77276,0.86971,0.67847,0.69368,0.71301
