,DMA1_pat,J301,J14
0,0.4211304484183479,0.38379411507783295,0.41103666060684124
1,0.3534436884994424,0.34517098562994736,0.3678626744130139
2,0.32859095631004903,0.37162280033603107,0.347823674087898
3,0.3715162611171165,0.370778812998692,0.32646068843697823
4,0.4300918928084594,0.41212354896296904,0.43097156345179316
5,0.5154715523083186,0.4756058780470855,0.5498802453190234
6,0.7257709785264967,0.6777252844016816,0.7181297079234823
7,0.6941052839846749,0.7546400523570649,0.6859861561281015
8,0.7614704571431162,0.6991310750732046,0.6618952403955164
9,0.776631301183464,0.5477078067959998,0.6541118389257569
10,0.6486526898083161,0.6294592415232496,0.603573666308257
11,0.6242369636669549,0.5123224581593931,0.5635884288398038
12,0.5679259606237841,0.5740635961920515,0.5028314474694264
13,0.480526079709746,0.5162673033093699,0.572058922575712
14,0.44041783012532326,0.5497921091091438,0.5081194061209366
15,0.49776304998252857,0.5583296439410377,0.5647712331964723
16,0.5479563610164463,0.5879451127267865,0.625062683441989
17,0.5317492052067258,0.5968186881226091,0.5627255851394111
18,0.5706726421002323,0.5815935261106109,0.5251105733754885
19,0.5391768396941441,0.6246296950422434,0.6231387031526954
20,0.5873772634518901,0.5828260549288162,0.551045863205874
21,0.4585961361253321,0.4597757819429666,0.4706127093504925
22,0.4525373434197621,0.44681071195553396,0.4066260590710525
23,0.5765353005368314,0.5204140752262066,0.6220726591747996
24,0.4421502333972341,0.48905290327026507,0.49491676409306395
25,0.3283622567226526,0.3121300233247753,0.32551123352110184
26,0.3147459621626196,0.3513055250850725,0.3257257167391806
27,0.36682461747012385,0.3530593158507651,0.31288387399405587
28,0.41473170467767917,0.4478239098281123,0.4471603039041731
29,0.5938214308714328,0.4884842129774306,0.49936210216285254
30,0.6412685705745804,0.7077014920296886,0.6709429199257158
31,0.7460915503628315,0.7141887507073917,0.76061818223571
32,0.6889453271105173,0.7552667807256463,0.6446946004413928
33,0.6890621850731978,0.6542411306177454,0.6949913706325088
34,0.6350401401123678,0.640685369866568,0.5676435571639086
35,0.6435899547269972,0.5690242546033853,0.5991598504583076
36,0.5648985017055707,0.5527579843924131,0.6324024006235198
37,0.5670371287050311,0.5713252790487063,0.5411047727357479
38,0.5116055190445794,0.5320216148436341,0.5246610465736403
39,0.5237778080595819,0.5157063771537055,0.5412118622181377
40,0.6105620444271778,0.6066652492820546,0.535015705842362
41,0.6388124427319173,0.6049214069063292,0.5537322351915209
42,0.6033291898258686,0.6366824165422471,0.6155757473649273
43,0.581560543516761,0.5970228278948995,0.5792341761152675
44,0.5282063646882168,0.5388888895415052,0.6015801889013744
45,0.488278339634741,0.4657208159169036,0.5185260637090917
