PAT1,PAT4
0.4427246111918262,0.3692785881987228
0.31653531112087346,0.349732901917402
0.3304403207725956,0.3598644387885524
0.3836253814412505,0.36353033077530617
0.4074192618244532,0.4013132412706777
0.49052521652033193,0.5612750509542221
0.7193180059408423,0.8564690301604081
0.8228053956753661,0.8952097279823018
0.9058626210935677,1.0062805364975664
0.8525703971321535,0.9263248284475968
0.6965236237623322,0.8126155247613591
0.6703139098455706,0.7528345383952124
0.7359223213904805,0.7007613458406333
0.5788764854240429,0.5524038473269327
0.5802004566520601,0.5499918195992495
0.5939067057316205,0.6384358199594952
0.5929039691405613,0.7254795083869185
0.6509417273937738,0.6798590781464733
0.7185289590080388,0.635957696890375
0.6123355415156259,0.6571884156950326
0.5598951619449914,0.5340429215000431
0.6522657504706042,0.5774011229189311
0.47345537016453226,0.46319527681718625
0.5420927034219108,0.7004781549685143
0.4482794034775624,0.5720071005112334
0.3134887310331313,0.3145012474217802
0.3652668472143806,0.2966556582000595
0.3397216387812422,0.3637236042083292
0.3692092801240715,0.49670737816120764
0.6524990710310812,0.5027598095236756
0.8514021771663458,0.7671175605762451
0.8398103309718246,0.9152923145862168
0.8023120871771106,0.856847779936647
0.7787669203443369,0.7173983837553995
0.7714740579476519,0.7332560507814706
0.72480094077947,0.593336960514423
0.6725137954751977,0.7388599390554668
0.5259714257844236,0.6578024945381837
0.5763172776809334,0.595754579513721
0.5736020969275605,0.7248411024294402
0.6712590158615429,0.7365738396259759
0.6192320575818241,0.6848580369142064
0.6945135754466343,0.6971933932806257
0.6851834514947102,0.6982651713498241
0.6393304855824248,0.6063827563806871
0.5167728464103927,0.5113019272627051
0.4407506355429671,0.48684141419036975
0.5064943241669276,0.49412019688496817
0.46653230646243615,0.4418543274850235
0.3309329047467002,0.36076307015939324
0.38859489617636384,0.322076470061328
0.36095470599849555,0.3470280943248309
0.4339702384594855,0.4387497677488498
0.5708818665516435,0.6554986319013132
0.8700942857574722,0.8384923955326387
0.8372547702668846,0.9577285638243757
