PLC1,PLC2,PLC3,PLC4,PLC5,PLC6,PLC7,PLC8,PLC9,scada
0.041547694602652244,0.04920542991817954,0.028836745993579965,0.020626834676640282,0.026423414668920224,0.017022787460672144,0.024766907252098867,0.04254232761830682,0.01125218265031641,0.04123254608891188
0.026522994898991355,0.034231365214781456,0.046148939270532395,0.034153790709538744,0.012366994515960883,0.0379140966539132,0.017439221844033678,0.022545608773760238,0.011712093341698928,0.04534748536953713
0.0224629465531444,0.04895818246635115,0.039005918591971896,0.019242607895472726,0.015219214314986025,0.030803201655652,0.04533108287890175,0.04232250163093557,0.03665874234585421,0.03190613875553416
0.04286527926693037,0.01915606187404533,0.03823913274997449,0.010406705411377368,0.048413302766337804,0.02482896651326776,0.01549947253803727,0.017642795098792404,0.028674788088007823,0.04508724707455192
0.03137598462604283,0.0313508151825795,0.0418591851482376,0.048066022328746044,0.015299211827591086,0.0363282168536894,0.012598994098964318,0.017244517460841713,0.029292931377398954,0.04462165556152241
0.018756263868642847,0.014905336112277682,0.038697562985542396,0.0457587447657949,0.040321509102143,0.019661910623814685,0.04601568511010577,0.013764898176392176,0.020222066448192005,0.03635326664424838
0.027958385508755,0.028141745512075586,0.04845480627924963,0.012584902549180335,0.03394466534623769,0.042148878261891794,0.034361900281104155,0.039606113068690794,0.039335721156002215,0.035343551566103366
0.01642827298243662,0.04437619740689288,0.011498669909380173,0.01747778556762164,0.034838207607741374,0.014416620072382515,0.036883086081599285,0.04036682820673591,0.021492139042555234,0.04155597895426362
0.0316565880215943,0.015524710447396655,0.043852291216274805,0.04910809963078649,0.011186643704483301,0.03425850156947376,0.045970291271823366,0.010147854521749272,0.045179517305422995,0.03277333690613966
0.024812112827379464,0.0345742088198353,0.04859988410083719,0.03920239721100521,0.01921631761075188,0.032596204053985355,0.023495743017357094,0.0472412045851327,0.014941476378914974,0.022320157051466054
0.03308397643491783,0.04950419323159199,0.01242583757399943,0.032585540806904637,0.034914783213285644,0.02797226636790727,0.022940071986714577,0.04921224486773912,0.037780525460894145,0.02230197431587858
0.01882699850905154,0.02213178452145855,0.04278541930559814,0.023020892815977065,0.014874320737559184,0.04374535158575443,0.036577642083093956,0.01568160362700489,0.036993830103735026,0.02848632552033662
